interval_start,order_count,total_revenue,avg_prep_time,avg_delivery_time,avg_total_time,avg_wait_time,avg_rating,total_items,hour,day_of_week,day_of_month,week_of_year,month,is_weekend,time_of_day,is_lunch_peak,is_dinner_peak,is_peak_hour,hour_sin,hour_cos,day_sin,day_cos,population,median_income,median_age,poverty_rate,white_pct,hispanic_pct,black_pct,population_density,urbanicity,income_normalized,age_normalized,population_normalized,weather_condition,temperature_c,weather_Clear,weather_Cloudy,weather_Rain,weather_Snow,temp_category,temp_very_cold,temp_cold,temp_mild,temp_warm,is_holiday,holiday_name,order_count_lag_1,order_count_lag_2,order_count_lag_3,order_count_lag_6,order_count_lag_12,order_count_lag_24,order_count_lag_48,order_count_rolling_mean_3,order_count_rolling_std_3,order_count_rolling_max_3,order_count_rolling_mean_6,order_count_rolling_std_6,order_count_rolling_max_6,order_count_rolling_mean_12,order_count_rolling_std_12,order_count_rolling_max_12,order_count_rolling_mean_24,order_count_rolling_std_24,order_count_rolling_max_24
2025-08-02 10:30:00,2.0,17.98,17.0,29.0,50.834999999999994,4.835,5.0,2.0,10,5,2,31,8,1,morning,0,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.6123724356957947,3.0
2025-08-02 11:00:00,1.0,6.99,13.0,15.0,31.81,3.81,4.0,1.0,11,5,2,31,8,1,morning,1,0,1,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6666666666666666,1.1547005383792506,2.0,0.3333333333333333,0.8164965809277257,2.0,0.16666666666666666,0.5773502691896256,2.0,0.08333333333333333,0.4082482904638632,2.0
2025-08-02 11:30:00,3.0,33.96,16.666666666666668,30.333333333333332,53.32,6.32,5.0,4.0,11,5,2,31,8,1,morning,1,0,1,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9999999999999991,2.0,0.5,0.8366600265340752,2.0,0.25,0.6215815605080609,2.0,0.125,0.44842720314644074,2.0
2025-08-02 12:00:00,3.0,67.92,17.333333333333332,29.0,54.163333333333334,7.830000000000001,4.666666666666667,8.0,12,5,2,31,8,1,lunch,1,0,1,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,3.0,1.0,2.0,0.0,0.0,0.0,3.0,2.0,0.9999999999999996,3.0,1.0,1.2649110640673515,3.0,0.5,0.9999999999999999,3.0,0.25,0.7372097807744858,3.0
2025-08-02 13:00:00,1.0,27.98,26.0,18.0,50.78,6.78,4.0,2.0,13,5,2,31,8,1,lunch,1,0,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,0.0,3.0,3.0,0.0,0.0,0.0,3.0,2.0,1.732050807568877,3.0,1.5,1.3784048752090219,3.0,0.75,1.2154310870109941,3.0,0.375,0.9237212077056678,3.0
2025-08-02 13:30:00,4.0,63.440000000000005,15.0,26.25,45.435,4.785,5.0,6.0,13,5,2,31,8,1,lunch,1,0,1,-0.2588190451025208,-0.9659258262890683,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,1.0,0.0,3.0,2.0,0.0,0.0,3.0,1.3333333333333333,1.527525231651946,3.0,1.6666666666666667,1.2110601416389963,3.0,0.8333333333333334,1.1934162828797101,3.0,0.4166666666666667,0.9286112429750732,3.0
2025-08-02 14:00:00,1.0,4.49,10.0,33.0,47.73,4.73,4.0,1.0,14,5,2,31,8,1,lunch,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,4.0,1.0,0.0,1.0,0.0,0.0,2.0,1.6666666666666667,2.0816659994661326,4.0,2.0,1.5491933384829666,4.0,1.1666666666666667,1.4668044012461754,4.0,0.5833333333333334,1.1764599317505433,4.0
2025-08-02 14:30:00,1.0,13.99,23.0,42.0,67.0,2.0,5.0,1.0,14,5,2,31,8,1,lunch,0,0,0,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,1.0,4.0,1.0,3.0,0.0,0.0,0.0,2.0,1.7320508075688772,4.0,2.0,1.5491933384829666,4.0,1.25,1.4222261679238195,4.0,0.625,1.1726039399558574,4.0
2025-08-02 15:00:00,1.0,14.99,24.0,22.0,46.55,0.55,5.0,1.0,15,5,2,31,8,1,afternoon,0,0,0,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,1.0,1.0,4.0,3.0,0.0,0.0,2.0,2.0,1.7320508075688772,4.0,1.6666666666666667,1.5055453054181618,4.0,1.3333333333333333,1.3706888336846839,4.0,0.6666666666666666,1.1671841502435296,4.0
2025-08-02 15:30:00,1.0,22.98,24.0,43.0,79.26,12.26,5.0,2.0,15,5,2,31,8,1,afternoon,0,0,0,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.3333333333333333,1.3662601021279461,4.0,1.4166666666666667,1.3113721705515065,4.0,0.7083333333333334,1.1601786469133204,4.0
2025-08-02 16:30:00,2.0,30.96,16.0,36.5,60.635000000000005,8.135,3.5,4.0,16,5,2,31,8,1,afternoon,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,0.0,1.0,1.0,4.0,2.0,0.0,0.0,0.6666666666666666,0.5773502691896227,1.0,1.3333333333333333,1.3662601021279461,4.0,1.5,1.243163121016122,4.0,0.75,1.1515584902738285,4.0
2025-08-02 17:00:00,1.0,12.99,22.0,17.0,39.18,0.18,5.0,1.0,17,5,2,31,8,1,afternoon,0,0,0,-0.9659258262890683,-0.25881904510252063,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,2.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,0.9999999999999987,2.0,1.0,0.6324555320336757,2.0,1.5,1.243163121016122,4.0,0.8333333333333334,1.1671841502435296,4.0
2025-08-02 18:00:00,2.0,23.97,13.0,26.5,50.67,11.17,4.0,3.0,18,5,2,31,8,1,afternoon,0,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,0.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,0.9999999999999988,2.0,0.8333333333333334,0.7527726527090809,2.0,1.25,1.2154310870109941,4.0,0.875,1.1539158284426272,4.0
2025-08-02 18:30:00,5.0,42.95,13.8,35.0,51.626,3.7260000000000004,5.0,5.0,18,5,2,31,8,1,afternoon,0,1,1,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9999999999999988,2.0,1.0,0.8944271909999157,2.0,1.1666666666666667,1.1146408580454252,4.0,0.9583333333333334,1.1601786469133204,4.0
2025-08-02 19:00:00,3.0,34.97,17.666666666666668,38.0,56.64333333333334,1.0133333333333334,4.666666666666667,3.0,19,5,2,31,8,1,dinner,0,1,1,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,5.0,2.0,0.0,0.0,1.0,0.0,0.0,2.3333333333333335,2.516611478423583,5.0,1.6666666666666667,1.8618986725025255,5.0,1.5833333333333333,1.5050420310248864,5.0,1.1666666666666667,1.4039282363260677,5.0
2025-08-02 20:00:00,1.0,12.99,21.0,18.0,51.82,12.82,5.0,1.0,20,5,2,31,8,1,dinner,0,1,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,0.0,3.0,5.0,1.0,1.0,0.0,2.0,2.6666666666666665,2.5166114784235836,5.0,1.8333333333333333,1.9407902170679516,5.0,1.4166666666666667,1.4433756729740643,5.0,1.2916666666666667,1.4288690166235203,5.0
2025-08-02 20:30:00,3.0,20.47,11.0,35.0,55.696666666666665,9.696666666666667,4.666666666666667,3.0,20,5,2,31,8,1,dinner,0,1,1,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,1.0,0.0,3.0,0.0,1.0,0.0,3.0,1.3333333333333333,1.527525231651946,3.0,1.8333333333333333,1.9407902170679516,5.0,1.4166666666666667,1.4433756729740643,5.0,1.3333333333333333,1.4039282363260674,5.0
2025-08-02 21:00:00,3.0,51.44,15.666666666666666,29.666666666666668,52.913333333333334,7.579999999999999,5.0,6.0,21,5,2,31,8,1,dinner,0,0,0,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.3333333333333333,1.527525231651946,3.0,2.3333333333333335,1.7511900715418263,5.0,1.5833333333333333,1.5050420310248864,5.0,1.4583333333333333,1.413572921994865,5.0
2025-08-02 21:30:00,1.0,4.49,9.0,23.0,41.33,9.33,4.0,1.0,21,5,2,31,8,1,dinner,0,0,0,-0.7071067811865477,0.7071067811865474,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,3.0,3.0,1.0,5.0,1.0,0.0,1.0,2.3333333333333335,1.1547005383792515,3.0,2.5,1.7606816861659011,5.0,1.75,1.5447859516333118,5.0,1.5833333333333333,1.4116492564331995,5.0
2025-08-02 22:00:00,3.0,46.44,14.333333333333334,30.333333333333332,51.620000000000005,6.953333333333333,5.0,6.0,22,5,2,31,8,1,dinner,0,0,0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,21124,141179,32.5,5.2,64.5,14.4,8.0,high,urban,1.41179,0.325,0.42248,Clear,28.0,True,False,False,False,warm,False,False,False,True,0,,1.0,3.0,3.0,3.0,0.0,0.0,1.0,2.3333333333333335,1.1547005383792515,3.0,1.8333333333333333,1.3291601358251257,3.0,1.75,1.5447859516333118,5.0,1.625,1.377221525548734,5.0
